epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
65	8623.53	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00023632	0.00023632	0.00023632
66	10843.1	nan	nan	nan	0	0	0	0	nan	nan	nan	0.000235325	0.000235325	0.000235325
67	13067.5	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00023433	0.00023433	0.00023433
68	15043.2	1.77801	1.15881	1.46272	0	0	0	0	nan	nan	nan	0.000233335	0.000233335	0.000233335
69	17432.9	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00023234	0.00023234	0.00023234
70	19852.7	nan	nan	nan	0	0	0	0	nan	nan	nan	0.000231345	0.000231345	0.000231345
71	22123	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00023035	0.00023035	0.00023035
72	24528.3	nan	nan	nan	0	0	0	0	nan	nan	nan	0.000229355	0.000229355	0.000229355
73	26700.2	nan	nan	nan	0	0	0	0	nan	nan	nan	0.00022836	0.00022836	0.00022836
74	28974.1	nan	nan	nan	0	0	0	0	nan	nan	nan	0.000227365	0.000227365	0.000227365
